entity_id;domain;device;friendly_name;state;unit;device_class;state_class;area;integration;last_changed
sensor.smartshunt_300a_id_274_maximum_voltage;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Maximum voltage;58.36;V;voltage;measurement;Batterie;Victron Energy;2026-07-24 06:28:42.370334+00:00
sensor.smartshunt_300a_id_274_automatic_syncs;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Automatic syncs;42;syncs;;total_increasing;Batterie;Victron Energy;2026-07-24 06:28:42.370407+00:00
sensor.smartshunt_300a_id_274_consumed_amp_hours;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Consumed amp-hours;-81.2;Ah;;measurement;Batterie;Victron Energy;2026-07-24 08:02:42.901019+00:00
sensor.smartshunt_300a_id_274_minimum_voltage;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Minimum voltage;48.34;V;voltage;measurement;Batterie;Victron Energy;2026-07-24 06:28:42.370548+00:00
sensor.smartshunt_300a_id_274_average_discharge;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Average discharge;-288.4;Ah;;measurement;Batterie;Victron Energy;2026-07-24 06:28:42.370616+00:00
sensor.smartshunt_300a_id_274_charged_energy;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Charged energy;1096.3;kWh;energy;total;Batterie;Victron Energy;2026-07-24 08:00:42.881987+00:00
sensor.smartshunt_300a_id_274_last_discharge;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Last discharge;-212.8;Ah;;measurement;Batterie;Victron Energy;2026-07-24 06:28:42.370757+00:00
sensor.smartshunt_300a_id_274_charge;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Charge;94.3;%;battery;measurement;Batterie;Victron Energy;2026-07-24 08:02:42.901152+00:00
sensor.smartshunt_300a_id_274_time_since_last_full_charge;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Time since last full charge;4223486;s;duration;measurement;Batterie;Victron Energy;2026-07-24 08:02:42.901201+00:00
sensor.smartshunt_300a_id_274_dc_bus_current;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) DC bus current;49.3;A;current;measurement;Batterie;Victron Energy;2026-07-24 08:02:42.901239+00:00
sensor.smartshunt_300a_id_274_power;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Power;2661.7;W;power;measurement;Batterie;Victron Energy;2026-07-24 08:02:42.901294+00:00
sensor.smartshunt_300a_id_274_cumulative_ah_drawn;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Cumulative Ah drawn;-19495.0;Ah;;total;Batterie;Victron Energy;2026-07-24 06:28:42.371112+00:00
sensor.smartshunt_300a_id_274_deepest_discharge;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Deepest discharge;-456.4;Ah;;measurement;Batterie;Victron Energy;2026-07-24 06:28:42.371182+00:00
binary_sensor.shelly1_a4_input_0;binary_sensor;Shelly1 A4;Shelly DEYE Input 0;off;;power;;Shelly;Shelly;2026-07-24 06:28:42.794050+00:00
binary_sensor.shelly1_a4_input_1;binary_sensor;Shelly1 A4;Shelly DEYE Input 1;off;;power;;Shelly;Shelly;2026-07-24 06:28:42.794127+00:00
binary_sensor.chauffe_eau_overheating;binary_sensor;Chauffe-eau;DEYE canal 2 Overheating;off;;problem;;Shelly;Shelly;2026-07-24 06:28:42.794258+00:00
binary_sensor.eclairage_overheating;binary_sensor;Eclairage;DEYE canal 1 Overheating;off;;problem;;Shelly;Shelly;2026-07-24 06:28:42.794333+00:00
binary_sensor.chauffe_eau_overpowering;binary_sensor;Chauffe-eau;DEYE canal 2 Overpowering;off;;problem;;Shelly;Shelly;2026-07-24 06:28:42.794387+00:00
binary_sensor.eclairage_overpowering;binary_sensor;Eclairage;DEYE canal 1 Overpowering;off;;problem;;Shelly;Shelly;2026-07-24 06:28:42.794443+00:00
binary_sensor.chauffe_eau_overvoltage;binary_sensor;Chauffe-eau;DEYE canal 2 Overvoltage;off;;problem;;Shelly;Shelly;2026-07-24 06:28:42.794492+00:00
binary_sensor.eclairage_overvoltage;binary_sensor;Eclairage;DEYE canal 1 Overvoltage;off;;problem;;Shelly;Shelly;2026-07-24 06:28:42.794542+00:00
binary_sensor.chauffe_eau_overcurrent;binary_sensor;Chauffe-eau;DEYE canal 2 Overcurrent;off;;problem;;Shelly;Shelly;2026-07-24 06:28:42.794590+00:00
binary_sensor.eclairage_overcurrent;binary_sensor;Eclairage;DEYE canal 1 Overcurrent;off;;problem;;Shelly;Shelly;2026-07-24 06:28:42.794637+00:00
button.shelly1_a4_restart;button;Shelly1 A4;Shelly DEYE Restart;unknown;;restart;;Shelly;Shelly;2026-07-24 06:28:42.794886+00:00
sensor.chauffe_eau_power;sensor;Chauffe-eau;DEYE canal 2 Power;0.0;W;power;measurement;Shelly;Shelly;2026-07-24 06:28:42.795640+00:00
sensor.eclairage_power;sensor;Eclairage;DEYE canal 1 Power;0.0;W;power;measurement;Shelly;Shelly;2026-07-24 06:28:42.795727+00:00
sensor.chauffe_eau_energy;sensor;Chauffe-eau;DEYE canal 2 Energy;5.918719;kWh;energy;total_increasing;Shelly;Shelly;2026-07-24 06:28:42.795911+00:00
sensor.eclairage_energy;sensor;Eclairage;DEYE canal 1 Energy;28.87;kWh;energy;total_increasing;Shelly;Shelly;2026-07-24 06:28:42.795976+00:00
sensor.chauffe_eau_energy_returned;sensor;Chauffe-eau;DEYE canal 2 Energy returned;5.918719;kWh;energy;total_increasing;Shelly;Shelly;2026-07-24 06:28:42.796240+00:00
sensor.eclairage_energy_returned;sensor;Eclairage;DEYE canal 1 Energy returned;28.87;kWh;energy;total_increasing;Shelly;Shelly;2026-07-24 06:28:42.796312+00:00
switch.chauffe_eau;switch;Chauffe-eau;DEYE canal 2;on;;;;Shelly;Shelly;2026-07-24 06:28:42.796811+00:00
switch.eclairage;switch;Eclairage;DEYE canal 1;on;;;;Shelly;Shelly;2026-07-24 06:28:42.796889+00:00
update.shelly1_a4_firmware;update;Shelly1 A4;Shelly DEYE Firmware;off;;firmware;;Shelly;Shelly;2026-07-24 06:28:42.797139+00:00
sensor.smartshunt_300a_id_274_time_to_go;sensor;SmartShunt 300A (ID: 274);SmartShunt 300A (ID: 274) Time to go;unavailable;s;duration;measurement;Batterie;Victron Energy;2026-07-24 06:28:43.678324+00:00
script.script;script;None;script;unavailable;;;;None;None;2026-07-24 06:28:43.678438+00:00
sensor.micro_onduleurs_deye_microinverter_250_update_interval;sensor;Microinverter_250;Microinverter_250 Update Interval;5.18008;s;;duration;Micro Onduleurs DEYE;Deye;2026-07-24 08:03:02.490358+00:00
sensor.micro_onduleurs_deye_microinverter_250_device;sensor;Microinverter_250;Microinverter_250 Device;Microinverter;;enum;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.190981+00:00
sensor.micro_onduleurs_deye_microinverter_250_device_state;sensor;Microinverter_250;Microinverter_250 Device State;Normal;;enum;;Micro Onduleurs DEYE;Deye;2026-07-24 07:49:09.231989+00:00
sensor.micro_onduleurs_deye_microinverter_250_today_production;sensor;Microinverter_250;Microinverter_250 Today Production;35.4;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.578836+00:00
sensor.micro_onduleurs_deye_microinverter_250_total_production;sensor;Microinverter_250;Microinverter_250 Total Production;905.4;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:53:32.932784+00:00
sensor.micro_onduleurs_deye_microinverter_250_today_production_1;sensor;Microinverter_250;Microinverter_250 Today Production 1;0;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.193197+00:00
sensor.micro_onduleurs_deye_microinverter_250_today_production_2;sensor;Microinverter_250;Microinverter_250 Today Production 2;11.6;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:53:32.932925+00:00
sensor.micro_onduleurs_deye_microinverter_250_today_production_3;sensor;Microinverter_250;Microinverter_250 Today Production 3;11.4;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:38:35.334765+00:00
sensor.micro_onduleurs_deye_microinverter_250_today_production_4;sensor;Microinverter_250;Microinverter_250 Today Production 4;11.3;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:48:31.346784+00:00
sensor.micro_onduleurs_deye_microinverter_250_total_production_1;sensor;Microinverter_250;Microinverter_250 Total Production 1;unknown;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.194588+00:00
sensor.micro_onduleurs_deye_microinverter_250_total_production_2;sensor;Microinverter_250;Microinverter_250 Total Production 2;296.7;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:43:34.183205+00:00
sensor.micro_onduleurs_deye_microinverter_250_grid_voltage;sensor;Microinverter_250;Microinverter_250 Grid Voltage;229;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 08:03:02.490664+00:00
sensor.micro_onduleurs_deye_microinverter_250_total_production_3;sensor;Microinverter_250;Microinverter_250 Total Production 3;295;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:48:31.347074+00:00
sensor.micro_onduleurs_deye_microinverter_250_grid_current;sensor;Microinverter_250;Microinverter_250 Grid Current;2.5;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579230+00:00
sensor.micro_onduleurs_deye_microinverter_250_total_production_4;sensor;Microinverter_250;Microinverter_250 Total Production 4;290.5;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:53:32.933173+00:00
sensor.micro_onduleurs_deye_microinverter_250_grid_frequency;sensor;Microinverter_250;Microinverter_250 Grid Frequency;50;Hz;frequency;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.198281+00:00
sensor.micro_onduleurs_deye_microinverter_250_power;sensor;Microinverter_250;Microinverter_250 Power;592.8;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579324+00:00
sensor.micro_onduleurs_deye_microinverter_250_temperature;sensor;Microinverter_250;Microinverter_250 Temperature;50;°C;temperature;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 08:01:29.571943+00:00
sensor.micro_onduleurs_deye_microinverter_250_device_alarm;sensor;Microinverter_250;Microinverter_250 Device Alarm;Problem;;enum;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.199212+00:00
sensor.micro_onduleurs_deye_microinverter_250_device_fault;sensor;Microinverter_250;Microinverter_250 Device Fault;DC Bus OverVoltage;;enum;;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579423+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv1_voltage;sensor;Microinverter_250;Microinverter_250 PV1 Voltage;0;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.199771+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv1_power;sensor;Microinverter_250;Microinverter_250 PV1 Power;0;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.200090+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv1_current;sensor;Microinverter_250;Microinverter_250 PV1 Current;0;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.200394+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv2_voltage;sensor;Microinverter_250;Microinverter_250 PV2 Voltage;39.5;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579545+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv2_power;sensor;Microinverter_250;Microinverter_250 PV2 Power;205.4;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579579+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv2_current;sensor;Microinverter_250;Microinverter_250 PV2 Current;5.2;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579612+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv3_voltage;sensor;Microinverter_250;Microinverter_250 PV3 Voltage;39;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579645+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv3_power;sensor;Microinverter_250;Microinverter_250 PV3 Power;206.7;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579680+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv3_current;sensor;Microinverter_250;Microinverter_250 PV3 Current;5.3;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579714+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv4_voltage;sensor;Microinverter_250;Microinverter_250 PV4 Voltage;38.7;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579748+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv_power;sensor;Microinverter_250;Microinverter_250 PV Power;617.21;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579782+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv4_power;sensor;Microinverter_250;Microinverter_250 PV4 Power;205.11;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579816+00:00
sensor.micro_onduleurs_deye_microinverter_250_pv4_current;sensor;Microinverter_250;Microinverter_250 PV4 Current;5.3;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579848+00:00
sensor.micro_onduleurs_deye_microinverter_250_power_losses;sensor;Microinverter_250;Microinverter_250 Power losses;24.41;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:29.579910+00:00
binary_sensor.micro_onduleurs_deye_microinverter_250_connection;binary_sensor;Microinverter_250;Microinverter_250 Connection;on;;connectivity;;Micro Onduleurs DEYE;Deye;2026-07-24 07:46:48.186108+00:00
number.micro_onduleurs_deye_microinverter_250_self_check_time;number;Microinverter_250;Microinverter_250 Self-check time;65;s;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.206336+00:00
number.micro_onduleurs_deye_microinverter_250_grid_voltage_upper_limit;number;Microinverter_250;Microinverter_250 Grid Voltage Upper Limit;287.5;V;voltage;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.206583+00:00
number.micro_onduleurs_deye_microinverter_250_grid_voltage_lower_limit;number;Microinverter_250;Microinverter_250 Grid Voltage Lower Limit;184;V;voltage;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.206801+00:00
number.micro_onduleurs_deye_microinverter_250_grid_frequency_upper_limit;number;Microinverter_250;Microinverter_250 Grid Frequency Upper Limit;51.5;Hz;frequency;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.206998+00:00
number.micro_onduleurs_deye_microinverter_250_grid_frequency_lower_limit;number;Microinverter_250;Microinverter_250 Grid Frequency Lower Limit;47.5;Hz;frequency;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.207188+00:00
number.micro_onduleurs_deye_microinverter_250_over_frequency_load_reduction_start;number;Microinverter_250;Microinverter_250 Over-Frequency Load Reduction Start;50.6;Hz;frequency;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.207381+00:00
number.micro_onduleurs_deye_microinverter_250_over_frequency_load_reduction;number;Microinverter_250;Microinverter_250 Over-Frequency Load Reduction;71;%;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.207580+00:00
number.micro_onduleurs_deye_microinverter_250_power_factor_regulation;number;Microinverter_250;Microinverter_250 Power Factor Regulation;1;;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.207772+00:00
number.micro_onduleurs_deye_microinverter_250_active_power_regulation;number;Microinverter_250;Microinverter_250 Active Power Regulation;100;%;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.208025+00:00
switch.micro_onduleurs_deye_microinverter_250_access_point;switch;Microinverter_250;Microinverter_250 Access Point;on;;switch;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.208660+00:00
switch.micro_onduleurs_deye_microinverter_250;switch;Microinverter_250;Microinverter_250;on;;switch;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.209133+00:00
switch.micro_onduleurs_deye_microinverter_250_island_protection;switch;Microinverter_250;Microinverter_250 Island Protection;off;;switch;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.209328+00:00
switch.micro_onduleurs_deye_microinverter_250_soft_start;switch;Microinverter_250;Microinverter_250 Soft Start;on;;switch;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.209507+00:00
switch.micro_onduleurs_deye_microinverter_250_gfdi;switch;Microinverter_250;Microinverter_250 GFDI;off;;switch;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.209682+00:00
switch.micro_onduleurs_deye_microinverter_250_over_frequency_load_reduction;switch;Microinverter_250;Microinverter_250 Over-Frequency Load Reduction;on;;switch;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.209862+00:00
switch.micro_onduleurs_deye_microinverter_250_riso;switch;Microinverter_250;Microinverter_250 RISO;on;;switch;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.210037+00:00
button.micro_onduleurs_deye_microinverter_250_restart;button;Microinverter_250;Microinverter_250 Restart;unknown;;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.210420+00:00
select.micro_onduleurs_deye_microinverter_250_cloud;select;Microinverter_250;Microinverter_250 Cloud;HTTP;;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.210857+00:00
select.micro_onduleurs_deye_microinverter_250_eeprom;select;Microinverter_250;Microinverter_250 EEPROM;Normal;;enum;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.211071+00:00
datetime.micro_onduleurs_deye_microinverter_250_date_time;datetime;Microinverter_250;Microinverter_250 Date & Time;unknown;;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:35:31.247445+00:00
sensor.micro_onduleurs_deye_microinverter_251_update_interval;sensor;Microinverter_251;Microinverter_251 Update Interval;5.560994;s;;duration;Micro Onduleurs DEYE;Deye;2026-07-24 08:03:00.760144+00:00
sensor.micro_onduleurs_deye_microinverter_251_device;sensor;Microinverter_251;Microinverter_251 Device;Microinverter;;enum;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.157954+00:00
sensor.micro_onduleurs_deye_microinverter_251_device_state;sensor;Microinverter_251;Microinverter_251 Device State;Normal;;enum;;Micro Onduleurs DEYE;Deye;2026-07-24 07:49:08.224486+00:00
sensor.micro_onduleurs_deye_microinverter_251_today_production;sensor;Microinverter_251;Microinverter_251 Today Production;35.1;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:53:13.555489+00:00
sensor.micro_onduleurs_deye_microinverter_251_total_production;sensor;Microinverter_251;Microinverter_251 Total Production;903.6;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:53:13.555581+00:00
sensor.micro_onduleurs_deye_microinverter_251_today_production_1;sensor;Microinverter_251;Microinverter_251 Today Production 1;10.7;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:53:13.555640+00:00
sensor.micro_onduleurs_deye_microinverter_251_today_production_2;sensor;Microinverter_251;Microinverter_251 Today Production 2;0;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.160662+00:00
sensor.micro_onduleurs_deye_microinverter_251_today_production_3;sensor;Microinverter_251;Microinverter_251 Today Production 3;11.8;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:23:15.257135+00:00
sensor.micro_onduleurs_deye_microinverter_251_today_production_4;sensor;Microinverter_251;Microinverter_251 Today Production 4;11.5;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:43:32.510460+00:00
sensor.micro_onduleurs_deye_microinverter_251_total_production_1;sensor;Microinverter_251;Microinverter_251 Total Production 1;279.3;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:48:12.302324+00:00
sensor.micro_onduleurs_deye_microinverter_251_total_production_2;sensor;Microinverter_251;Microinverter_251 Total Production 2;unknown;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.164111+00:00
sensor.micro_onduleurs_deye_microinverter_251_grid_voltage;sensor;Microinverter_251;Microinverter_251 Grid Voltage;229;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 08:03:00.760779+00:00
sensor.micro_onduleurs_deye_microinverter_251_total_production_3;sensor;Microinverter_251;Microinverter_251 Total Production 3;301.5;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:53:13.555915+00:00
sensor.micro_onduleurs_deye_microinverter_251_grid_current;sensor;Microinverter_251;Microinverter_251 Grid Current;2.6;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215053+00:00
sensor.micro_onduleurs_deye_microinverter_251_total_production_4;sensor;Microinverter_251;Microinverter_251 Total Production 4;299.5;kWh;energy;total_increasing;Micro Onduleurs DEYE;Deye;2026-07-24 07:48:12.302592+00:00
sensor.micro_onduleurs_deye_microinverter_251_grid_frequency;sensor;Microinverter_251;Microinverter_251 Grid Frequency;50;Hz;frequency;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:38:12.412514+00:00
sensor.micro_onduleurs_deye_microinverter_251_power;sensor;Microinverter_251;Microinverter_251 Power;605;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215167+00:00
sensor.micro_onduleurs_deye_microinverter_251_temperature;sensor;Microinverter_251;Microinverter_251 Temperature;45.4;°C;temperature;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 08:02:10.200900+00:00
sensor.micro_onduleurs_deye_microinverter_251_device_alarm;sensor;Microinverter_251;Microinverter_251 Device Alarm;Problem;;enum;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.167995+00:00
sensor.micro_onduleurs_deye_microinverter_251_device_fault;sensor;Microinverter_251;Microinverter_251 Device Fault;DC Bus OverVoltage;;enum;;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215270+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv1_voltage;sensor;Microinverter_251;Microinverter_251 PV1 Voltage;39.1;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215312+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv1_power;sensor;Microinverter_251;Microinverter_251 PV1 Power;207.23;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215352+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv1_current;sensor;Microinverter_251;Microinverter_251 PV1 Current;5.3;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215386+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv2_voltage;sensor;Microinverter_251;Microinverter_251 PV2 Voltage;0;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.171253+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv2_power;sensor;Microinverter_251;Microinverter_251 PV2 Power;0;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.171565+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv2_current;sensor;Microinverter_251;Microinverter_251 PV2 Current;0;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.171847+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv3_voltage;sensor;Microinverter_251;Microinverter_251 PV3 Voltage;40.8;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215501+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv3_power;sensor;Microinverter_251;Microinverter_251 PV3 Power;212.16;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215537+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv3_current;sensor;Microinverter_251;Microinverter_251 PV3 Current;5.2;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215576+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv4_voltage;sensor;Microinverter_251;Microinverter_251 PV4 Voltage;40.5;V;voltage;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215610+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv_power;sensor;Microinverter_251;Microinverter_251 PV Power;629.99;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215644+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv4_power;sensor;Microinverter_251;Microinverter_251 PV4 Power;210.6;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215680+00:00
sensor.micro_onduleurs_deye_microinverter_251_pv4_current;sensor;Microinverter_251;Microinverter_251 PV4 Current;5.2;A;current;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215714+00:00
sensor.micro_onduleurs_deye_microinverter_251_power_losses;sensor;Microinverter_251;Microinverter_251 Power losses;24.99;W;power;measurement;Micro Onduleurs DEYE;Deye;2026-07-24 07:58:07.215740+00:00
binary_sensor.micro_onduleurs_deye_microinverter_251_connection;binary_sensor;Microinverter_251;Microinverter_251 Connection;on;;connectivity;;Micro Onduleurs DEYE;Deye;2026-07-24 07:43:32.511695+00:00
number.micro_onduleurs_deye_microinverter_251_self_check_time;number;Microinverter_251;Microinverter_251 Self-check time;65;s;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.176984+00:00
number.micro_onduleurs_deye_microinverter_251_grid_voltage_upper_limit;number;Microinverter_251;Microinverter_251 Grid Voltage Upper Limit;287.5;V;voltage;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.177365+00:00
number.micro_onduleurs_deye_microinverter_251_grid_voltage_lower_limit;number;Microinverter_251;Microinverter_251 Grid Voltage Lower Limit;184;V;voltage;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.177652+00:00
number.micro_onduleurs_deye_microinverter_251_grid_frequency_upper_limit;number;Microinverter_251;Microinverter_251 Grid Frequency Upper Limit;51.5;Hz;frequency;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.177955+00:00
number.micro_onduleurs_deye_microinverter_251_grid_frequency_lower_limit;number;Microinverter_251;Microinverter_251 Grid Frequency Lower Limit;47.5;Hz;frequency;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.178272+00:00
number.micro_onduleurs_deye_microinverter_251_over_frequency_load_reduction_start;number;Microinverter_251;Microinverter_251 Over-Frequency Load Reduction Start;50.6;Hz;frequency;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.178622+00:00
number.micro_onduleurs_deye_microinverter_251_over_frequency_load_reduction;number;Microinverter_251;Microinverter_251 Over-Frequency Load Reduction;71;%;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.178915+00:00
number.micro_onduleurs_deye_microinverter_251_power_factor_regulation;number;Microinverter_251;Microinverter_251 Power Factor Regulation;1;;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.179194+00:00
number.micro_onduleurs_deye_microinverter_251_active_power_regulation;number;Microinverter_251;Microinverter_251 Active Power Regulation;100;%;;;Micro Onduleurs DEYE;Deye;2026-07-24 06:57:47.191644+00:00
switch.micro_onduleurs_deye_microinverter_251_access_point;switch;Microinverter_251;Microinverter_251 Access Point;on;;switch;;Micro Onduleurs DEYE;Deye;2026-07-24 06:37:51.180917+00:00
switch.micro_onduleurs_deye_microinverter_251;switch;Microinverter_251;Microinverter_251;on;;switch;;Micro Onduleurs DEYE;Deye;2026-07-24 07:33:59.588928+00:00
